,word,vec
25000,larghetto,
25001,at half speed,
25002,under easy sail,
25003,at a foots pace,
25004,at a snail's pace,
25005,at a funeral pace,
25006,in slow time,
25007,with mincing steps,
25008,with clipped wings,
25009,haud passibus aequis,
25010,gradually,
25011,gradatim,
25012,by degrees,
25013,by slow degrees,
25014,by inches,
25015,by little and little,
25016,step by step,
25017,one step at a time,
25018,inch by inch,
25019,bit by bit,
25020,little by little,
25021,seriatim,
25022,consecutively,
25023,dum Roma deliberat Saguntum perit,
25024,at a glacial pace,
25025,impulse,
25026,impulsion,
25027,impetus,
25028,momentum,
25029,push,
25030,pulsion,
25031,thrust,
25032,shove,
25033,jog,
25034,jolt,
25035,brunt,
25036,booming,
25037,boost,
25038,throw,
25039,explosion,
25040,propulsion,
25041,percussion,
25042,concussion,
25043,collision,
25044,occursion,
25045,clash,
25046,encounter,
25047,cannon,
25048,carambole,
25049,appulse,
25050,shock,
25051,crash,
25052,bump,
25053,impact,
25054,elan,
25055,charge,
25056,beating,
25057,blow,
25058,dint,
25059,stroke,
25060,knock,
25061,tap,
25062,rap,
25063,slap,
25064,smack,
25065,pat,
25066,dab,
25067,fillip,
25068,slam,
25069,bang,
25070,hit,
25071,whack,
25072,thwack,
25073,cuff,
25074,squash,
25075,dowse,
25076,swap,
25077,whap,
25078,punch,
25079,thump,
25080,pelt,
25081,kick,
25082,punce,
25083,calcitration,
25084,ruade,
25085,arietation,
25086,cut,
25087,thrust,
25088,lunge,
25089,yerk,
25090,carom,
25091,carrom,
25092,clip,
25093,jab,
25094,plug,
25095,sidewinder,
25096,sidewipe,
25097,sideswipe,
25098,hammer,
25099,sledge hammer,
25100,mall,
25101,maul,
25102,mallet,
25103,flail,
25104,ram,
25105,rammer,
25106,battering ram,
25107,monkey,
25108,pile-driving engine,
25109,punch,
25110,bat,
25111,cant hook,
25112,cudgel,
25113,ax,
25114,dynamics,
25115,seismometer,
25116,accelerometer,
25117,earthquake detector,
25118,give an impetus,
25119,impel,
25120,push,
25121,start,
25122,give a start to,
25123,set going,
25124,drive,
25125,urge,
25126,boom,
25127,thrust,
25128,prod,
25129,foin,
25130,cant,
25131,elbow,
25132,shoulder,
25133,jostle,
25134,justle,
25135,hustle,
25136,hurtle,
25137,shove,
25138,jog,
25139,jolt,
25140,encounter,
25141,run against,
25142,bump against,
25143,butt against,
25144,knock one's head against,
25145,run one's head against,
25146,impinge,
25147,boost,
25148,bunt,
25149,carom,
25150,clip y,
25151,fan,
25152,fan out,
25153,jab,
25154,plug,
25155,strike,
25156,knock,
25157,hit,
25158,tap,
25159,rap,
25160,slap,
25161,flap,
25162,dab,
25163,pat,
25164,thump,
25165,beat,
25166,blow,
25167,bang,
25168,slam,
25169,dash,
25170,punch,
25171,thwack,
25172,whack,
25173,hit hard,
25174,strike hard,
25175,swap,
25176,batter,
25177,dowse,
25178,baste,
25179,pelt,
25180,patter,
25181,buffet,
25182,belabor,
25183,fetch one a blow,
25184,poke at,
25185,pink,
25186,lunge,
25187,yerk,
25188,kick,
25189,calcitrate,
25190,butt,
25191,strike at,
25192,whip,
25193,come into a collision,
25194,enter into collision,
25195,collide,
25196,sideswipe,
25197,foul,
25198,fall foul of,
25199,run foul of,
25200,telescope,
25201,throw,
25202,impelling,
25203,impulsive,
25204,impellent,
25205,booming,
25206,dynamic,
25207,dynamical,
25208,impelled,
25209,"a hit, a very palpable hit",
25210,recoil,
25211,reaction,
25212,retroaction,
25213,revulsion,
25214,bounce,
25215,rebound,
25216,ricochet,
25217,repercussion,
25218,recalcitration,
25219,kick,
25220,contrecoup,
25221,springing back,
25222,elasticity,
25223,reflection,
25224,reflexion,
25225,reflex,
25226,reflux,
25227,reverberation,
25228,rebuff,
25229,repulse,
25230,return,
25231,ducks and drakes,
25232,boomerang,
25233,spring,
25234,reactionist,
25235,elastic collision,
25236,coefficient of restitution,
25237,recoil,
25238,react,
25239,spring back,
25240,fly back,
25241,bounce back,
25242,bound back,
25243,rebound,
25244,reverberate,
25245,repercuss,
25246,recalcitrate,
25247,echo,
25248,ricochet,
25249,recoiling,
25250,refluent,
25251,repercussive,
25252,recalcitrant,
25253,reactionary,
25254,retroactive,
25255,on the rebound,
25256,on the recoil,
25257,"for every action there is a reaction, equal in force for every action there is a reaction, equal in force and opposite in direction",
25258,direction,
25259,bearing,
25260,course,
25261,vector,
25262,set,
25263,drift,
25264,tenor,
25265,tendency,
25266,incidence,
25267,bending,
25268,trending,
25269,dip,
25270,tack,
25271,aim,
25272,collimation,
25273,steering steerage,
25274,point of the compass,
25275,cardinal points,
25276,North East,
25277,South,
25278,West,
25279,N by E,
25280,ENE,
25281,NE by N,
25282,NE,
25283,rhumb,
25284,azimuth,
25285,line of collimation,
25286,line,
25287,path,
25288,road,
25289,range,
25290,quarter,
25291,line of march,
25292,alignment,
25293,allignment,
25294,air line,
25295,beeline,
25296,straight shoot,
25297,tend towards,
25298,bend towards,
25299,point towards,
25300,conduct to,
25301,go to,
25302,point to,
25303,point at,
25304,bend,
25305,trend,
25306,verge,
25307,incline,
25308,dip,
25309,determine,
25310,steer for,
25311,steer towards,
25312,make for,
25313,make towards,
25314,aim at,
25315,level at,
25316,take aim,
25317,keep a course,
25318,hold a course,
25319,be bound for,
25320,bend one's steps towards,
25321,direct one's course,
25322,steer one's course,
25323,bend one's course,
25324,shape one's course,
25325,align one's march,
25326,allign one's march,
25327,to straight,
25328,go straight to the point,
25329,march on,
25330,march on a point,
25331,ascertain one's direction,
25332,s'orienter,
25333,see which way the wind blows,
25334,box the compass,
25335,take the air line,
25336,directed,
25337,directed towards,
25338,pointing towards,
25339,bound for,
25340,aligned,
25341,with alligned with,
25342,direct,
25343,straight,
25344,undeviating,
25345,unswerving,
